Date,Category,Title,Text
27 июн 2012 12:20,Экономика,ЛУКОЙЛ готов добывать по 100 млн тонн нефти в год,"Перевалить за 100 млн тонн добычи нефти в год ЛУКОЙЛ планирует уже в 2014г., сообщил сегодня, выступая с докладом на годовом общем собрании акционеров, президент компании Вагит Алекперов. Наращивание объемов нефтедобычи глава..."
21 июн 2012 14:22,Экономика,ЛУКОЙЛ попытался избавиться от алмазов на экономическом форуме,"ОАО ""ЛУКОЙЛ"" интересно предложение о продаже его алмазного бизнеса, сообщил журналистам в рамках Петербургского экономического форума президент компании Вагит Алекперов."
21 июн 2012 13:49,Экономика,"Друзья навек: ЛУКОЙЛ и Enel поработают в России, Европе и даже Африке","ОАО ""ЛУКОЙЛ"" и итальянская Enel договорились о сотрудничестве в сфере разведки, добычи и транспортировки газа в России, а также на территории Европы и в Северной Африке. Соответствующий меморандум был подписан сегодня в рамках..."
21 июн 2012 12:56,Экономика,Глава ЛУКОЙЛа определил оптимальную стоимость нефти,"Президент ОАО ""НК ""ЛУКОЙЛ"" Вагит Алекперов считает оптимальной ценой на нефть 95-105 долл. за баррель и прогнозирует стоимость сырья в июне 2012г. на уровне 100-110 долл./барр. Такое мнение он высказал журналистам в кулуарах Петербургского международного экономического форума."
20 июн 2012 17:40,Экономика,"""Роснефть"" положила глаз на шельфовые активы ЛУКОЙЛа и ТНК-BP","У НК ""ЛУКОЙЛ"" и ТНК-BP есть некоторые шельфовые активы, которые могли заинтересовать ""Роснефть"", сообщил журналистам в рамках годового общего собрания акционеров президент ""Роснефти"" Игорь Сечин. Он не указал, о каких именно..."
20 июн 2012 14:01,Экономика,В рамках ПМЭФ-2012 будет подписан ряд стратегических контрактов,"В Санкт-Петербурге 21-23 июня состоится XVI Петербургский международный экономический форум (ПМЭФ-2012), который в этом году будет проходить под девизом ""Эффективное лидерство""."
18 июн 2012 14:43,Экономика,Обновленный налог на добычу нефти и газа будет готов к осени,"Премьер-министр РФ Дмитрий Медведев поручил Министерству энергетики РФ, Министерству финансов РФ, Министерству экономического развития РФ и Федеральной службе по тарифам (ФСТ) совместно с заинтересованными нефтегазовыми..."
31 май 2012 12:18,Экономика,ЛУКОЙЛ выиграл аукцион в Ираке,Консорциум ЛУКОЙЛа (60% акций) и японской Inpex (40%) получил лицензию на разведку нефтяного месторождения на юге Ирака. Общая площадь выделенного компаниям блока №10 в провинциях Мутанна и Ди-Кар составляет около 5500 кв. км. С...
29 май 2012 09:56,Экономика,ЛУКОЙЛ выкупит свои акции и продаст их в Азии,"ЛУКОЙЛ в ближайшее время может выкупить дополнительно свои акции на рынке на сумму 2-3 млрд долл., чтобы поддерживать котировки. Об этом сообщил в рамках презентации компании в Гонконге ее вице-президент Леонид Федун."
28 май 2012 14:26,Экономика,"ЛУКОЙЛ решил осваивать Ирак не с европейцами, а с азиатами","Новым партнером ЛУКОЙЛа по освоению одного из крупнейших нефтяных месторождений Ирака вместо норвежской Statoil может стать одна из азиатских компаний. ""У нас есть переговоры с несколькими потенциальными участниками по вхождению..."
28 май 2012 11:58,Экономика,"ЛУКОЙЛ увеличил добычу на 0,4%, а прибыль - на 7,7%","Чистая прибыль ЛУКОЙЛа по US GAAP в I квартале 2012г. выросла до 3,789 млрд долл., что на 7,7% больше, чем за первые три месяца 2011г., говорится в сообщении компании. Выручка за тот же период выросла на 19% - с 29,626 млрд долл. до 35,261 млрд долл."
21 май 2012 16:33,Экономика,"Роснедра отобрали у ""Башнефть-Полюс"" месторождения в НАО","Федеральное агентство по недропользованию (Роснедра) отменило приказ о передаче ООО ""Башнефть-Полюс"" (СП ОАО ""Башнефть"" и ОАО ""ЛУКОЙЛ"") лицензии на освоение нефтяных месторождений им.Р.Требса и А.Титова в Ненецком автономном..."
15 май 2012 17:46,Экономика,ЛУКОЙЛ в два раза нарастил квартальную прибыль,"Чистая прибыль ОАО ""НК ""ЛУКОЙЛ"" по российским стандартам бухучета увеличилась более чем в 2 раза - до 34,4 млрд руб. - по итогам I квартала 2012г., говорится в материалах общества."
12 май 2012 16:31,Экономика,ЛУКОЙЛ закрыл более половины своих заправок в США,"Одна из крупнейших российских нефтяных компаний ЛУКОЙЛ по итогам 2011г. сократила число автозаправочных станций за рубежом на 8%. При этом более чем в два раза уменьшилось количество АЗС в США, сообщает Reuters."
04 май 2012 14:13,Экономика,Мечты сбываются: нефтяные компании РФ устремились к шельфу,"Государственная нефтяная компания ""Роснефть"" создала две группы с российскими компаниями для совместной работы на арктическом шельфе РФ, сообщил журналистам вице-премьер Игорь Сечин, не уточнив названия компаний."
27 апр 2012 13:44,Экономика,Размер дивидендов ЛУКОЙЛа может увеличиться на 27%,"Совет директоров ЛУКОЙЛа рекомендовал выплатить дивиденды за 2011г. в размере 75 руб./акция, что на 27% больше, чем по итогам 2010г., говорится в сообщении компании."
27 апр 2012 13:24,Экономика,"ЛУКОЙЛ предложил ""Роснефти"" проекты в третьих странах в обмен на шельф","ОАО ""ЛУКОЙЛ"" готово предложить ""Роснефти"" геологоразведочные проекты в третьих странах в обмен на участие в шельфовых проектах ""Роснефти"" на Черном и Баренцевом морях. Об этом сообщил сегодня в Барселоне президент ЛУКОЙЛа Вагит Алекперов по итогам заседания совета директоров компании."
18 апр 2012 19:24,Экономика,ЛУКОЙЛ не прочь поработать на шельфе,"Президент ЛУКОЙЛа Вагит Алекперов выразил заинтересованность предложениями ""Роснефти"" по работе на шельфе. Соответствующее письмо было направлено сегодня на имя главы нефтяной компании Эдуарда Худайнатова, сообщили в ЛУКОЙЛе."
16 апр 2012 19:00,Экономика,"""Роснефть"" готова поделиться с нефтяными компаниями кусочком Арктики","""Роснефть"" направила ЛУКОЙЛу, ТНК-ВР, ""Нефтегазу"" и ""Башнефти"" предложения по сотрудничеству на 12 участках арктического шельфа, сообщил журналистам глава ""Роснефти"" Эдуард Худайнатов. Он добавил, что условия сотрудничества будут аналогичны условиям сотрудничества с американской ExxonMobil."
12 апр 2012 15:18,Экономика,ЛУКОЙЛ развернул экспансию на Нидерланды,"Группа ""ЛУКОЙЛ"" подписала соглашение с голландской Verolma Groep о приобретении 59 автозаправочных станций в Бельгии и Нидерландах, передает Reuters со ссылкой на бельгийское подразделение группы - LUKOIL Belgium."
02 апр 2012 09:24,Экономика,"Арктический пирог: лаком, но слишком дорог, чтобы попробовать","Россия, скорее всего, еще долго не слезет с ""нефтегазовой иглы"". В пользу этого утверждения, помимо целого ряда аргументов, говорит тот факт, что в 2012г. должна начаться первая добыча нефти на арктическом шельфе, а в 2016г. -..."
23 мар 2012 09:28,Экономика,Новый рекорд: чистый доход российских НК достиг 45 млрд долл.,"Считать чужие деньги — дело неблагодарное. Однако когда речь идет о народном достоянии - российской нефти, на которой держится значительная часть российского бюджета, то, пожалуй, задача эта переходит в разряд обязательных. В..."
19 мар 2012 11:37,Экономика,"""Три волны"" от ФАС накрыли нефтяников на 20,7 млрд руб.","Общая сумма штрафов нефтяных компаний в рамках ""трех волн"" антимонопольных дел составила 20,7 млрд руб., около 19 млрд руб. нефтяники уже заплатили. Как сообщил заместитель главы Федеральной антимонопольной службы России Анатолий..."
14 мар 2012 18:39,Экономика,"ЛУКОЙЛ увеличит добычу в 1,5 раза, а дивиденды - вчетверо","Крупнейшая частная нефтедобывающая компания России - ОАО ""ЛУКОЙЛ"" - представила сегодня новую стратегию развития на период 2012-2021гг. Основной новостью презентации стала информация о планируемом росте дивидендов по итогам..."
02 мар 2012 09:28,Экономика,Русские идут: у нефтяников в моде заграница,Российские нефтяные компании все активнее работают за рубежом. За последние несколько лет портфели проектов российских нефтяников пополнились целым рядом новых месторождений в развивающихся странах.
01 мар 2012 21:24,Экономика,ЛУКОЙЛ перейдет на отчетность по МСФО только с 2015г.,"ОАО ""ЛУКОЙЛ"" намерено перейти на отчетность по МСФО с 2015г. в соответствии с требованиями законодательства. Об этом в ходе телефонной конференции сообщил вице-президент компании Леонид Федун."
