Date,Category,Title,Text
28 окт 2021 14:30,Экономика,Сечин назвал существующий капитализм помехой при поиске выхода из кризиса,"Глава «Роснефти» считает, что проблема — в ограничениях, заложенных в действующей модели капитализма. Чтобы текущий кризис не стал глобальным, необходима координация между всеми участниками экономической системы, отметил он"
05 июн 2021 13:25,Экономика,Сечин призвал перейти на «зеленую» нефть,"По мнению главы «Роснефти», вместо отказа от углеводородов мировому сообществу стоит подумать о прозрачной системе оценки и сертификации. В пример «зеленых баррелей» Сечин привел нефть «Восток Ойл» с содержанием серы 0,01–0,04%"
02 май 2021 15:32,Политика,Два миллиардера и «Роснефть» подали в суд на издателя книги «Люди Путина»,"Иски против издательства HarperCollins подали совладелец «Альфа-Групп» Михаил Фридман и глава совета директоров Альфа-банка Петр Авен, а также бизнесмен Шалва Чигиринский и компания «Роснефть». Ранее иск подал Роман Абрамович"
17 фев 2021 14:57,Политика,Суд приговорил бывшего полпреда президента Ишаева к пяти годам условно,"Бывший полпред президента на Дальнем Востоке и губернатор Хабаровского края Виктор Ишаев получил условный срок по делу о растрате 7,5 млн руб., принадлежавших «Роснефти». Обвинение требовало для него семь лет лишения свободы"
17 фев 2021 10:17,Политика,Суд признал бывшего полпреда президента виновным в растрате,Обвинение запросило для экс-губернатора Хабаровского края и бывшего полпреда президента России Виктора Ишаева семь лет колонии
10 фев 2021 11:16,Политика,Бывшему полпреду президента запросили семь лет колонии за растрату,"Виктор Ишаев обвиняется в растрате денег «Роснефти», в которой бывший губернатор Хабаровского края работал с 2013 года"
08 фев 2021 15:11,Финансы,Банки нарастили валютное кредитование иностранцев до рекорда с 2018 года,"В декабре банки увеличили выдачу валютных кредитов нерезидентам до максимума с октября 2018 года. Параллельно росли валютные депозиты компаний. Это уникальное сочетание, говорят эксперты"
02 янв 2021 11:03,Экономика,Добыча нефти в России опустилась почти до десятилетнего минимума,"На фоне обвала спроса на нефть, связанного с пандемией, и новой сделки ОПЕК+ объем добычи в России сократился до минимума за последние девять лет. В 2019 году он побил рекорд с момента распада СССР"
05 сен 2020 16:30,Политика,Президент Азербайджана наградил Сечина орденом Дружбы к юбилею,NO TEXT
19 авг 2020 09:39,Экономика,Главы нефтяных компаний написали Путину об опасности повышения налогов,Главы крупнейших нефтяных компаний пожаловались Владимиру Путину на планы Минфина увеличить налоги на отрасль. Президент поручил вице-премьеру Юрию Борисову представить предложения
18 авг 2020 15:36,Политика,Сечин подарил Путину бутылку с премиальной нефтью,NO TEXT
07 авг 2020 13:41,Политика,«Роснефть» отвергла причастность к задержанным в Белоруссии «боевикам»,Нефтяная компания выступила с заявлением после публикаций «Комсомольской правдой» версии об организации появления в Белоруссии российских «боевиков» украинскими спецслужбами
23 июл 2020 12:34,Экономика,Кремль рассказал о разработке идеи «мексиканской страховки» цен на нефть,Ранее об идее «мексиканской страховки» от падения цен на нефть сообщили источники «Интерфакса» и Bloomberg
22 июл 2020 23:58,Экономика,Власти проработают идею «мексиканской страховки» от падения цен на нефть,"Правительство по поручению президента проработает идею защиты нефтегазовых доходов бюджета от падения цен путем покупки опционов на деньги ФНБ, сообщили источники «Интерфакса» и Bloomberg. Пока в мире так делает только Мексика"
02 апр 2020 15:36,Экономика,Союз ветеранов Анголы удалил данные о возможном главе «Росзарубежнефти»,"Союз ветеранов Анголы удалил с сайта информацию о своем представителе Николае Рыбчуке. Человек с таким именем в конце марта возглавил госкомпанию «Росзарубежнефть», которая может получить бывшие венесуэльские активы «Роснефти»"
20 фев 2020 20:54,Политика,Захарова прокомментировала санкции США против «дочки» «Роснефти»,NO TEXT
18 фев 2020 14:08,Политика,Сечин приехал в Минск на переговоры с Лукашенко,"Белорусский лидер встретился с Игорем Сечиным в Минске, чтобы договориться о поставках российской нефти. На переговорах с Путиным в Москве 9 февраля Лукашенко не смог добиться скидок на топливо"
07 фев 2020 00:56,Политика,СМИ узнали об опасениях США из-за возможных санкций против «Роснефти»,"Ограничения против российской компании за сотрудничество с Венесуэлой могут привести к «хаосу на международных нефтяных рынках», считают американские чиновники"
13 ноя 2019 21:41,Экономика,Верховный суд рассмотрит вопрос о взыскании долгов с детей банкротов,"«Дочка» «Роснефти» намерена взыскать долг с супруги и сыновей бизнесмена, организовавшего массовое хищение нефтепродуктов. Верховный суд должен выработать единую позицию — возможно ли взыскать долги с наследников при банкротствах"
29 окт 2019 12:00,Экономика,В чем проблема «арктических» льгот для нефтяных компаний,Предоставление налоговых льгот нефтегазовым проектам в Арктике может стимулировать компании продавать зрелые месторождения и ускорить падение добычи в Западной Сибири и Поволжье
02 окт 2019 19:32,Политика,Путин заявил о потерях ExxonMobil из-за закрытия проектов с «Роснефтью»,NO TEXT
10 сен 2019 14:17,Экономика,США допустили санкции против «Роснефти» за сотрудничество с Венесуэлой,"Российская компания перепродает дороже купленную со скидкой венесуэльскую нефть, «выжимая» из страны деньги, сказал спецпредставитель США"
02 сен 2019 21:10,Политика,Гордеев заявил об интересе «Роснефти» к стройке аэропорта Монголии,NO TEXT
15 окт 2018 14:46,Финансы,Место скандального аналитика Sberbank СIB займет выходец из «Роснефти»,На место уволенного автора критических отчетов о «Газпроме» и «Роснефти» Sberbank CIB Александра Фэка назначен выходец из «Роснефти» Андрей Громадин. Он возглавит аналитическое подразделение по нефти и газу
27 авг 2018 00:01,Экономика,В шаге от продажи: почему «Роснефть» могут лишить прав на НПЗ в США,"Cуд Делавэра издал приказ об аресте американского НПЗ Citgo по ходатайству канадской Crystallex. Около половины акций Citgo находятся в залоге у «Роснефти», и у российской госкомпании есть неделя, чтобы опротестовать решение суда"
14 май 2018 18:28,Финансы,«Роснефть» отчиталась о падении доходов членов правления почти в 6 раз,NO TEXT
25 май 2017 18:29,Экономика,Bloomberg узнал о плане обхода сирийских санкций через Россию,"Дамаск и Каракас планировали наладить поставки сирийской нефти в Венесуэлу в обход международных санкций, узнал Bloomberg. В схеме должна была участвовать российская компания-посредник"
07 апр 2017 22:26,Экономика,Сделкой «Роснефти» с Венесуэлой заинтересовался конгресс США,"Члены комитета конгресса США по иностранным делам призвали Минфин страны проверить сделку «Роснефти» и венесуэльской нефтяной компании PDVSA, в рамках которой российской компании перешли залоговые права на активы PDVSA в США"
07 окт 2016 15:06,Финансы,ЦБ оценил влияние покупки «Башнефти» «Роснефтью» на курс рубля,"Продажа валюты «Роснефтью» для покупки контрольного пакета «Башнефти» может вызвать временное укрепление рубля, заявила первый зампред ЦБ Ксения Юдаева. Это влияние, по ее словам, будет небольшим и временным"
12 апр 2016 19:50,Экономика,Ведущие трейдеры заявили о прохождении дна на рынке нефти,"Топ-менеджмент ведущих мировых нефтетрейдеров считает, что рынок нефти оттолкнулся ото дна и начал двигаться к балансу, а котировки к концу года поднимутся до $50/барр."
21 ноя 2015 18:02,Экономика,В правительстве пообещали новые скидки на нефть в борьбе за рынок Европы,"Россия готова к новым скидкам на нефть для европейских потребителей, сообщил источник в российском правительстве. Он подчеркнул, что Россия будет «биться за свой рынок в Европе»"
18 май 2015 19:56,Экономика,«Роснефть» попросила разрешить ей занять почти 10 трлн руб.,"Акционеры «Роснефти» на годовом собрании рассмотрят вопрос о привлечении кредитов в трех банках. Сумму почти в 10 трлн руб. компания намерена запросить во Всероссийском банке развития регионов, ВТБ и Газпромбанке"
19 фев 2015 15:42,Экономика,Минфин решил убрать из бюджета 100 млрд руб. от приватизации «Роснефти»,"Минфин предлагает вычеркнуть из бюджета на 2015 год доходы от приватизации «Роснефти» в размере 100 млрд руб. Деньги, скорее всего, останутся у «Роснефтегаза» для рефинансирования долгов госкомпании"
