Date,Category,Title,Text
14 май 2010 14:16,Экономика,Прибыль НОВАТЭКа выросла более чем в 5 раз в I квартале,"Чистая прибыль ОАО ""НОВАТЭК"" в I квартале 2010г. выросла в 5,2 раза по сравнению с показателем аналогичного периода 2009г. и составила 11,18 млрд руб. Такие данные содержатся в распространенном сегодня отчете, подготовленном по международным стандартам финансовой отчетности (МСФО)."
05 май 2010 08:58,Экономика,Арбитраж на рынках: НОВАТЭК выглядит недооцененным,"Наибольший положительный спрэд наблюдается в бумагах АФК ""Система""."
12 мар 2010 17:55,Экономика,"Чистая прибыль НОВАТЭКа по МСФО выросла в 2009г. на 13,7%","Чистая прибыль ОАО ""НОВАТЭК"" по международным стандартам финансовой отчетности (МСФО) в 2009г. выросла на 13,7% по сравнению с 2008г. и составила 26,04 млрд руб. против 22,9 млрд руб. в 2008г., говорится в сообщении компании."
12 янв 2010 12:40,Экономика,"Технический срез: ОАО ""НОВАТЭК""",Вторая волна ралли в бумагах НОВАТЭКа подходит к концу.
13 окт 2009 14:40,Экономика,"Технический срез: ОАО ""НОВАТЭК""","Котировки акций ОАО ""НОВАТЭК"" продолжают восстанавливаться после обвального падения в 2008г."
30 июл 2009 14:38,Экономика,"Технический срез: ОАО ""НОВАТЭК""","После длительного периода роста в акциях ОАО ""НОВАТЭК"" насупила консолидация."
08 апр 2009 14:16,Экономика,"Технический срез: ОАО ""НОВАТЭК""","С технической точки зрения акции НОВАТЭКа обозначили уверенный разворот в форме ""двойного дна"" в декабре 2008г."
19 мар 2009 11:15,Экономика,Отчетность НОВАТЭКа за 2008г. не разочаровала,"ОАО ""НОВАТЭК"" обнародовало отчетность за 2008г. по МСФО"
22 янв 2009 13:27,Экономика,"Технический срез: ОАО ""НОВАТЭК""","Несмотря на активное падение котировок акций НОВАТЭКа, с сентября 2008г. на графике начала формироваться фигура ""бычий клин"""
30 окт 2008 16:08,Экономика,Планы НОВАТЭКа получить 29% российского рынка крайне амбициозны,"ОАО ""НОВАТЭК рассчитывает увеличить долю присутствия на российском рынке до более 29%"
23 сен 2008 13:38,Экономика,Опережение планов принесет НОВАТЭКу дополнительную прибыль,"ОАО ""НОВАТЭК"" ввело в эксплуатацию вторую очередь Юрхаровского месторождения, сообщили в пресс-службе компании."
20 авг 2008 12:56,Экономика,НОВАТЭК начал программу приобретения GDR,"ОАО ""НОВАТЭК"" приступило к реализации программы приобретения глобальных депозитарных расписок (GDR), которая была одобрена советом директоров 11 февраля 2008г."
12 авг 2008 16:23,Экономика,"Технический срез: ОАО ""НОВАТЭК""","ОАО ""НОВАТЭК"" - второй после ""Газпрома"" производитель газа в России"
09 июн 2008 15:03,Экономика,"Технический срез: ОАО ""НОВАТЭК""","ОАО ""НОВАТЭК"" - второй после ""Газпрома"" производитель газа в России"
14 ноя 2007 17:36,Экономика,"Чистая прибыль НОВАТЭКа за 9 месяцев выросла до 11,2 млрд руб.","Чистая прибыль ОАО ""НОВАТЭК"" в январе-сентябре 2007г. по российским стандартам бухучета (РСБУ) выросла на 3,7% по сравнению с тем же периодом 2006г. и составила 11,2 млрд руб., говорится в отчете компании."
23 авг 2007 17:28,Экономика,"Чистая прибыль НОВАТЭКа за I полугодие выросла до 8,5 млрд руб.","Чистая прибыль ОАО ""НОВАТЭК"" по международным стандартам финансовой отчетности (МСФО) за первое полугодие 2007г. выросла на 19,7% - до 8 млрд 552 млн руб., сообщила пресс-служба компании."
04 апр 2007 10:12,Экономика,НОВАТЭК поборется за газовые активы ЮКОСа,"Компания группы ""НОВАТЭК"" 3 апреля 2007г. подписала договор о приобретении ООО ""Юнитекс"", которое подало заявку на участие в аукционе по продаже имущества ОАО ""НК ""ЮКОС"", составляющего лот N2. Такое сообщение распространила..."
29 мар 2007 17:49,Экономика,"Чистая прибыль НОВАТЭКа в 2006г. снизилась на 14,71%","Чистая прибыль ОАО ""НОВАТЭК"" по российским стандартам бухгалтерского учета (РСБУ) в 2006г. снизилась по сравнению с 2005г. на 14,71% и составила 12,946 млрд руб., говорится в сообщении компании."
14 ноя 2006 13:14,Экономика,"Чистая прибыль НОВАТЭКа в январе-сентябре снизилась на 10,4%","Чистая прибыль ОАО ""НОВАТЭК"" по РСБУ в январе-сентябре 2006г. снизилась по сравнению с аналогичным периодом 2005г. на 10,4% и составила 10 млрд 841 млн руб., говорится в официальном отчете компании."
29 сен 2006 12:12,Экономика,"Газпром купил 19,4% акций НОВАТЭКа","Газпром завершил сделку по приобретению 19,4% обыкновенных акций ОАО ""НОВАТЭК"", сообщает пресс-служба газового холдинга. Бумаги компании были выкуплены у ООО ""Левит"" и SWGI Growth Fund (Cyprys) Ltd. (основные акционеры НОВАТЭКа) через немецкую дочку Газпрома в лице ZGG GmbH."
26 июн 2006 17:17,Экономика,"Газпром покупает около 20% акций ОАО ""НОВАТЭК""","ОАО ""Газпром"" в лице ZGG GmbH подписало с основными акционерами ОАО ""НОВАТЭК"" - ООО ""ЛЕВИТ"" и SWGI Growth Fund (Cyprus) Limited - предварительный договор о приобретении по рыночной стоимости доли их участия в уставном капитале НОВАТЭКа в размере около 20% размещенных акций."
19 окт 2004 14:14,Экономика,В Нью-Йорке инвесторы обсудят рынок акций России,"В Нью-Йорке проходит III ежегодная нью-йоркская конференция инвесторов на тему ""Шире, глубже: Расширяющийся рынок акций России"". Организатор - инвестиционная компания ""Тройка-Диалог"". Мероприятие пройдет в West Lounge, Metropolitan Club."
