Date,flag
29-09-2014,0
29-10-2013,1
29-10-2014,0
29-10-2019,1
29-11-2012,0
29-12-2004,0
30-04-2013,1
30-04-2014,0
30-05-2012,-1
30-05-2013,0
30-06-2007,-2
30-07-2012,0
30-07-2013,0
30-07-2014,0
30-08-2012,0
30-08-2013,0
30-09-2013,0
30-10-2012,0
30-11-2012,2
30-11-2014,0
30-12-2004,0
30-12-2013,1
31-01-2013,0
31-05-2012,-1
31-05-2013,0
31-10-2012,0
31-12-2013,0
