Open,High,Low,Price,Volume,Divs,time_left_for_div,News,Time,WEEKDAY,SIN_TIME,COS_TIME
17400.0,17900.0,17160.0,17750.0,171,0.0,1.0,0.0,1073260800.0,1,0.49999999999999994,-0.8660254037844387
17998.0,19600.0,17790.0,19600.0,1906,0.0,2.0,0.0,1073347200.0,1,0.49999999999999994,-0.8660254037844387
17700.0,19650.0,17700.0,19102.0,734,0.0,3.0,0.0,1073520000.0,1,0.49999999999999994,-0.8660254037844387
19000.0,19300.0,18100.0,19300.0,1135,0.0,4.0,0.0,1073606400.0,1,0.49999999999999994,-0.8660254037844387
19350.0,19899.99,19100.0,19100.0,425,0.0,5.0,0.0,1073865600.0,1,0.49999999999999994,-0.8660254037844387
19100.0,19500.0,19000.0,19400.0,870,0.0,6.0,0.0,1073952000.0,1,0.49999999999999994,-0.8660254037844387
19500.0,19600.0,19000.0,19000.0,1308,0.0,7.0,0.0,1074038400.0,1,0.49999999999999994,-0.8660254037844387
19299.0,19489.0,18750.0,18900.0,757,0.0,8.0,0.0,1074124800.0,1,0.49999999999999994,-0.8660254037844387
19000.0,19220.0,18800.0,18878.0,469,0.0,9.0,0.0,1074211200.0,1,0.49999999999999994,-0.8660254037844387
19275.0,19275.0,18600.0,18715.0,1253,0.0,10.0,0.0,1074470400.0,1,0.49999999999999994,-0.8660254037844387
18601.0,18950.0,18500.0,18800.0,4310,0.0,11.0,0.0,1074556800.0,1,0.49999999999999994,-0.8660254037844387
18855.0,19200.0,18805.0,19000.0,996,0.0,12.0,0.0,1074643200.0,1,0.49999999999999994,-0.8660254037844387
19099.99,19530.0,19011.1,19400.0,2238,0.0,13.0,0.0,1074729600.0,1,0.49999999999999994,-0.8660254037844387
19400.0,19800.0,19400.0,19730.0,1881,0.0,14.0,0.0,1074816000.0,1,0.49999999999999994,-0.8660254037844387
19889.0,19900.0,19203.0,19414.99,1203,0.0,15.0,0.0,1075075200.0,1,0.49999999999999994,-0.8660254037844387
19200.0,19700.0,19180.0,19575.0,3495,0.0,16.0,0.0,1075161600.0,1,0.49999999999999994,-0.8660254037844387
19550.0,19601.0,19400.0,19458.0,1970,0.0,17.0,0.0,1075248000.0,1,0.49999999999999994,-0.8660254037844387
19400.0,19500.0,19300.0,19486.0,694,0.0,18.0,0.0,1075334400.0,1,0.49999999999999994,-0.8660254037844387
19200.0,19450.0,18950.01,19140.0,2079,0.0,19.0,0.0,1075420800.0,1,0.49999999999999994,-0.8660254037844387
18571.01,19100.0,18300.0,19010.0,430,0.0,20.0,0.0,1075680000.0,1,0.49999999999999994,-0.8660254037844387
19180.0,19300.0,19100.0,19120.0,2003,0.0,21.0,0.0,1075766400.0,1,0.49999999999999994,-0.8660254037844387
19101.0,19574.0,19000.0,19400.0,1210,0.0,22.0,0.0,1075852800.0,1,0.49999999999999994,-0.8660254037844387
19449.99,19514.0,19275.05,19400.0,1671,0.0,23.0,0.0,1075939200.0,1,0.49999999999999994,-0.8660254037844387
19400.0,19430.0,19110.0,19359.0,1287,0.0,24.0,0.0,1076025600.0,1,0.49999999999999994,-0.8660254037844387
19400.0,19600.0,19350.0,19456.0,3638,0.0,25.0,0.0,1076284800.0,1,0.49999999999999994,-0.8660254037844387
19722.99,19780.0,19456.0,19470.0,1701,0.0,26.0,0.0,1076371200.0,1,0.49999999999999994,-0.8660254037844387
19370.0,19645.0,19361.0,19643.0,1479,0.0,27.0,0.0,1076457600.0,1,0.258819045102521,-0.9659258262890682
19700.0,19899.99,19690.0,19800.0,9157,0.0,28.0,0.0,1076544000.0,1,0.258819045102521,-0.9659258262890682
19850.0,19960.0,19802.0,19802.0,2592,0.0,29.0,0.0,1076630400.0,1,0.258819045102521,-0.9659258262890682
19850.0,19915.36,19700.0,19899.99,1196,0.0,30.0,0.0,1076889600.0,1,0.258819045102521,-0.9659258262890682
